id,date,time,zone,currency,importance,event,actual,forecast,previous
512402,13/12/2024,10:00,czech republic,CZK,low,Current Account  (Oct),12.990B,7.000B,-7.680B
513441,13/12/2024,10:30,united kingdom,GBP,low,Inflation Expectations,3.0%,,2.7%
512427,13/12/2024,11:00,euro zone,EUR,low,Industrial Production (YoY)  (Oct),-1.2%,-1.9%,-2.2%
512428,13/12/2024,11:00,euro zone,EUR,medium,Industrial Production (MoM)  (Oct),0.0%,0.0%,-1.5%
512449,13/12/2024,12:00,brazil,BRL,low,IGP-10 Inflation Index (MoM)  (Dec),1.1%,,1.5%
513303,13/12/2024,12:00,china,CNY,low,M2 Money Stock (YoY)  (Nov),7.1%,7.6%,7.5%
513304,13/12/2024,12:00,china,CNY,medium,New Loans  (Nov),580.0B,950.0B,500.0B
513305,13/12/2024,12:00,china,CNY,low,Outstanding Loan Growth (YoY)  (Nov),7.7%,7.9%,8.0%
513306,13/12/2024,12:00,china,CNY,low,Chinese Total Social Financing  (Nov),"2,340.0B","2,800.0B","1,400.0B"
513410,13/12/2024,12:30,india,INR,low,Bank Loan Growth,10.6%,,11.1%
513411,13/12/2024,12:30,india,INR,low,Deposit Growth,10.7%,,11.2%
513412,13/12/2024,12:30,india,INR,low,"FX Reserves, USD",654.86B,,658.09B
512454,13/12/2024,13:00,brazil,BRL,low,IBC-Br Economic Activity  (Oct),0.10%,-0.20%,0.90%
513602,13/12/2024,13:30,united kingdom,GBP,medium,NIESR GDP Estimate,0.0%,,0.1%
